175;11;1996;1;20;175;7
176;11;1996;2;1;176;7.5
177;11;1996;1;10;177;6
178;11;1997;1;5;178;RI
179;11;1997;1;20;179;PE
180;11;1997;1;16;180;RI
181;11;2000;1;1;181;9
182;61;2005;2;1;182;3
183;61;2005;1;1;183;7
184;61;2005;2;1;184;0
185;61;2005;1;1;185;0.5
186;61;2005;1;1;186;5.5
187;61;2005;1;1;187;8
188;61;2006;2;1;188;7
189;61;2006;2;1;189;7.5
190;61;2006;1;1;190;7
191;61;2008;1;1;191;5.5
192;11;1993;2;3;192;PE
193;11;1993;2;13;193;7
194;11;1993;1;1;194;7
195;11;1993;1;1;195;7
196;11;1993;1;2;196;8
197;11;1993;2;18;197;6
198;11;1993;2;6;198;PE
199;11;1993;1;6;199;PE
200;11;1994;1;6;200;7
201;11;1994;2;1;201;6
202;11;1994;2;12;202;8.5
203;11;1994;2;1;203;PE
204;11;1994;1;1;204;PE
205;11;1994;2;1;205;9
206;11;1994;1;1;206;PE
207;11;1994;2;4;207;6
208;11;1995;1;5;208;7
209;11;1995;1;1;209;9.5
210;11;1995;1;1;210;RI
211;11;1995;2;1;211;PE
212;11;1995;2;1;212;6.5
213;11;1995;2;1;213;9
214;11;1995;1;2;214;7.5
215;11;1995;2;10;215;7
216;11;1996;1;1;216;7
217;11;1996;2;1;217;PE
218;11;1996;2;1;218;7
219;11;1996;1;1;219;PE
220;11;1996;1;1;220;PE
221;11;1996;2;2;221;RI
222;11;1996;1;1;222;RI
223;11;1996;1;2;223;RI
224;11;1996;2;1;224;6.5
225;11;1996;1;2;225;6.5
226;11;1996;2;4;226;7
227;11;1997;1;2;227;PE
228;11;1997;1;1;228;8.5
229;11;1997;2;2;229;8.5
230;11;1997;2;1;230;PE
231;11;1997;1;1;231;PE
232;11;1997;2;2;232;PE
233;11;1997;2;1;233;8.5
234;11;1997;1;1;234;7
235;11;1997;2;1;235;RJ
236;11;1997;1;1;236;7
237;11;1997;1;2;237;PE
238;11;1998;1;1;238;PE
239;11;1998;2;1;239;PE
240;11;1998;1;1;240;RI
241;11;1998;2;2;241;RI
242;11;1998;2;1;242;PE
243;11;1998;1;2;243;8
244;11;1999;1;1;244;PE
245;11;1999;2;3;245;PE
246;11;1999;1;1;246;7
247;11;2000;1;1;247;PE
248;11;2000;1;2;248;RI
249;11;2001;2;1;249;PE
250;11;2001;1;1;250;8.5
251;11;2001;1;1;251;7
252;11;2001;1;2;252;RI
253;11;2002;3;901;253;8.5
254;11;2002;1;1;254;RI
255;11;2002;1;2;255;PE
256;11;2002;2;2;256;8
257;11;2002;1;1;257;PE
258;11;2002;1;1;258;PE
259;11;2003;2;2;259;7
260;11;2003;1;1;260;7
261;11;2003;2;1;261;7
262;11;2003;2;1;262;RM
263;11;2003;2;1;263;PE
264;11;2004;2;1;264;7
265;11;2004;1;1;265;7
266;11;2004;1;2;266;PE
267;11;2004;2;2;267;7
268;11;2004;1;6;268;PE
269;11;2004;2;10;269;6
270;11;2004;2;3;270;9
271;11;2005;1;1;271;7.5
272;11;2005;2;1;272;8
273;11;2005;1;1;273;8
274;11;2005;2;1;274;7
275;11;2005;1;1;275;6.5
276;11;2005;2;1;276;7
277;11;2005;2;1;277;0
278;11;2005;1;11;278;9
279;11;2005;1;6;279;AP
280;11;2006;2;1;280;7
281;11;2006;2;1;281;2.5
282;11;2006;1;1;282;0
283;11;2006;2;1;283;7
284;11;2006;1;1;284;9
285;11;2007;2;1;285;2.5
286;11;2007;1;1;286;3.5
287;11;2007;1;1;287;6.5
288;11;1993;2;1;288;6.5
289;11;1993;1;38;289;RI
290;11;1993;2;26;290;PE
291;11;1994;1;34;291;7.5
292;11;1994;2;14;292;RI
293;11;1995;1;12;293;RI
294;11;1995;1;31;294;PE
295;11;1998;1;9;295;RI
296;11;1998;2;3;296;9
297;11;1998;2;15;297;RI
298;11;1998;2;12;298;RI
299;11;1999;1;7;299;RI
300;11;1993;1;6;300;8
301;11;1993;2;3;301;8
302;11;1993;2;9;302;9.5
303;11;1993;2;1;303;RJ
304;11;1993;2;1;304;8.5
305;11;1993;2;1;305;9
306;11;1993;1;10;306;RI
307;11;1994;2;3;307;8.5
308;11;1994;2;6;308;9
309;11;1994;1;1;309;RJ
310;11;1994;1;2;310;8
311;11;1994;1;1;311;9.5
312;11;1994;2;1;312;8.5
313;11;1994;2;4;313;10
314;11;1995;1;3;314;RJ
315;11;1995;1;1;315;8
316;11;1995;1;1;316;7.5
317;11;1995;2;2;317;7.5
318;11;1995;1;1;318;9
319;11;1995;2;3;319;9
320;11;1995;1;4;320;PE
321;11;1996;2;1;321;AP
322;11;1996;2;1;322;8
323;11;1996;1;1;323;RI
324;11;1996;1;1;324;7
325;11;1996;2;3;325;RI
326;11;1996;1;2;326;RJ
327;11;1996;2;1;327;RJ
328;11;1997;1;1;328;RJ
329;11;1997;1;1;329;7.5
330;11;1997;1;1;330;7.5
331;11;1997;1;1;331;8
332;11;1997;2;1;332;8
333;11;1997;2;1;333;RI
334;11;1998;2;1;334;RJ
335;11;1998;2;1;335;RJ
336;11;1998;1;1;336;PE
337;11;1998;2;1;337;RJ
338;11;1998;1;1;338;RI
339;11;2003;1;2;339;8.5
340;11;2003;2;1;340;10
341;11;2003;1;1;341;RM
342;11;2003;1;1;342;RM
343;11;2004;2;2;343;PE
344;11;2004;1;1;344;RI
345;11;2004;2;1;345;7
346;11;2004;1;1;346;9
347;11;2004;2;4;347;9.5
348;11;2005;2;1;348;2.5
349;11;2006;2;1;349;5
350;11;2006;2;1;350;RM
351;11;2006;1;1;351;7
352;11;2007;1;1;352;8.5
353;11;2008;1;1;353;7.5
354;11;2008;2;2;354;7.5
355;11;2008;2;1;355;8.5
356;11;2008;2;1;356;RM
357;11;2009;2;2;357;9
358;11;2009;1;1;358;7
359;11;2009;2;3;359;5
360;11;2009;1;2;360;9.5
361;11;2010;1;3;361;8
362;11;2011;1;1;362;8.5
363;11;2011;2;1;363;9
364;11;2011;2;1;364;5
365;11;2011;1;1;365;7.5
366;11;2012;2;23;366;RM
367;11;2012;1;1;367;RM
368;11;1993;2;1;368;RI
369;11;1993;1;5;369;6
370;11;1993;1;2;370;9.5
371;11;1993;1;4;371;7.5
372;11;1993;2;2;372;7
373;11;1993;2;4;373;RI
374;11;1993;1;7;374;RI
375;11;1993;1;3;375;AP
376;11;1994;1;11;376;8
377;11;1994;2;1;377;8.5
378;11;1994;1;10;378;7
379;11;1994;2;1;379;PE
380;11;1994;2;18;380;PE
381;11;1994;1;14;381;PE
382;11;1994;1;19;382;8
383;11;1994;1;13;383;RI
384;11;1995;2;3;384;RI
385;11;1995;1;5;385;RI
386;11;1995;1;1;386;PE
387;11;1995;2;1;387;8
388;11;1995;2;1;388;PE
389;11;1995;1;5;389;PE
390;11;1995;1;11;390;RI
391;11;1996;1;2;391;RI
392;11;1996;2;2;392;RI
393;11;1996;1;3;393;RI
394;11;1996;1;1;394;7
395;11;1996;1;11;395;RJ
396;11;1997;2;1;396;PE
397;11;1997;2;6;397;RI
398;11;1997;1;1;398;RJ
399;11;1997;1;15;399;RJ
400;11;1997;1;1;400;8
401;11;1997;1;5;401;RI
402;11;1998;2;2;402;RI
403;11;1994;1;60;403;8
404;11;1994;2;39;404;8
405;11;1995;1;8;405;9.5
406;11;1995;2;13;406;9
407;11;1995;1;3;407;PE
408;11;1995;1;15;408;8.5
409;11;1995;1;17;409;PE
410;11;1996;1;5;410;RI
411;11;1993;1;2;411;AP
412;11;1993;1;28;412;8.5
413;11;1993;2;14;413;8
414;11;1993;2;6;414;9
415;11;1994;1;11;415;8
416;11;1994;1;8;416;7.5
417;11;1994;2;2;417;7
418;11;1994;2;7;418;9
419;11;1994;1;3;419;7
420;11;1994;1;13;420;8
421;11;1994;2;16;421;7
422;11;1994;2;18;422;8
423;11;1995;1;5;423;7
424;11;1995;1;2;424;7
425;11;1995;2;1;425;7
426;11;1995;2;1;426;8.5
427;11;1995;1;2;427;9
428;11;1996;2;1;428;7
429;11;1996;2;18;429;PE
430;11;1996;1;10;430;7
431;11;1997;1;1;431;RI
432;11;1993;1;1;432;9
433;11;1993;1;1;433;9
434;11;1993;1;1;434;9
435;11;1993;1;1;435;9.5
436;11;1993;1;1;436;9
437;11;2003;1;2;437;PE
438;11;2003;2;2;438;7.5
439;11;2003;1;2;439;9.5
440;11;2003;1;5;440;RI
441;11;2003;1;14;441;PE
442;11;1993;2;1;442;PE
443;11;1993;1;1;443;PE
444;11;1993;1;1;444;PE
445;11;1993;2;1;445;PE
446;11;1994;2;1;446;PE
447;11;1994;1;1;447;PE
448;11;1994;2;1;448;PE
449;11;1994;1;1;449;PE
450;11;1995;1;1;450;PE
451;11;1995;1;1;451;PE
452;11;1998;1;9;452;RI
453;11;1999;2;3;453;PE
454;11;1999;1;15;454;8
455;11;1999;2;7;455;7
456;11;2000;1;5;456;9.5
457;11;2000;1;4;457;7
458;11;2000;2;3;458;8.5
459;11;2000;2;18;459;9
460;11;2000;2;3;460;8.5
461;11;2001;1;2;461;7.5
462;11;2001;2;2;462;7
463;11;2001;2;2;463;7
464;11;2001;1;1;464;8.5
465;11;2001;1;2;465;9
466;11;2001;2;3;466;PE
467;11;2001;1;4;467;PE
468;11;2002;1;2;468;6
469;11;2002;2;2;469;9
470;11;2002;1;1;470;7
471;11;2002;2;1;471;PE
472;11;2002;2;1;472;RI
473;11;2002;1;3;473;7
474;11;2002;2;2;474;6.5
475;11;2003;2;2;475;7.5
476;11;2003;2;1;476;7
477;11;2003;1;2;477;7
478;11;2003;1;2;478;7
479;11;2003;2;3;479;9
480;11;2004;1;1;480;8.5
481;11;2004;2;2;481;6
482;11;2004;1;1;482;7
483;11;2004;2;1;483;8
484;11;2004;1;1;484;6
485;11;2004;2;1;485;7.5
486;11;2005;2;2;486;7
487;11;2005;3;901;487;4.5
488;11;2005;2;2;488;7
489;11;2005;2;1;489;8
490;11;2005;2;5;490;9.5
491;11;2005;1;5;491;AP
492;11;2006;1;2;492;8.5
493;11;2006;2;1;493;7
494;11;2006;2;1;494;9
495;11;2006;2;1;495;3
496;11;2006;1;1;496;RM
497;11;2006;1;1;497;RM
498;11;2006;2;1;498;6
499;11;2006;1;1;499;7.5
500;11;2006;2;1;500;9.5
501;11;2007;2;2;501;7.5
502;11;2007;2;1;502;5.5
503;11;2008;1;1;503;1.5
504;11;2008;2;1;504;7
505;11;2010;1;1;505;9.5
506;11;2010;2;1;506;3
507;11;2010;2;1;507;8
508;11;2010;1;1;508;7.5
509;11;2011;1;1;509;10
510;11;2011;3;901;510;9
511;11;2011;2;2;511;6
512;11;2011;1;1;512;4
513;11;2012;2;1;513;7.5
514;11;1993;2;1;514;RI
515;11;1993;1;1;515;8.5
516;11;1993;1;2;516;7
517;11;1993;2;1;517;8.5
518;11;1993;1;1;518;8.5
519;11;1993;2;1;519;8
520;11;1993;1;2;520;RI
521;11;1993;2;1;521;PE
522;11;1994;2;1;522;AP
523;11;1994;1;1;523;7
524;11;1994;2;2;524;7.5
525;11;1994;1;1;525;9
526;11;1994;2;1;526;7
527;11;1994;2;2;527;7
528;11;1994;1;1;528;RI
529;11;1994;1;2;529;7.5
530;11;1994;1;2;530;8
531;11;1994;2;1;531;9
532;11;1994;2;1;532;8
533;11;1994;1;1;533;7
534;11;1994;1;8;534;AP
535;11;1995;1;1;535;9.5
536;11;1995;2;1;536;9
537;11;1995;1;1;537;8
538;11;1995;1;1;538;7.5
539;11;1995;1;1;539;7.5
540;11;1995;2;1;540;RI
541;11;1995;2;4;541;8
542;11;1997;1;9;542;6
543;11;1997;1;23;543;PE
544;11;1997;1;2;544;RI
545;11;1998;1;6;545;6
546;11;1998;1;21;546;7
547;11;1998;2;2;547;8.5
548;11;1999;2;1;548;PE
549;11;1999;1;2;549;6
550;11;1999;1;7;550;RI
551;11;1999;2;5;551;RJ
552;11;2000;2;8;552;9
553;11;2000;2;8;553;8.5
554;11;2001;1;16;554;RM
