1,731638
2,750978
3,770847
4,773804
5,780860
6,783580
7,791103
8,791470
9,791736
10,800690
11,800892
12,801509
13,802570
14,802729
15,810894
16,821148
17,821595
18,822086
19,822913
20,823487
21,823620
22,830241
23,834046
24,840660
25,851547
26,860205
27,865214
28,865353
29,870052
30,870193
31,873579
32,880382
33,880562
34,882437
35,882594
36,882813
37,883857
38,885128
39,885225
40,890878
41,891381
42,892440
43,893237
44,895041
45,901039
46,901739
47,901808
48,901939
49,901951
50,902105
51,902776
52,902807
53,903462
54,903501
55,903508
56,903532
57,903782
58,906526
59,910214
60,910233
61,910374
62,910679
63,910723
64,911268
65,911284
66,911445
67,911759
68,911775
69,911778
70,911821
71,912351
72,912481
73,912507
74,913434
75,915123
76,915304
77,915338
78,916042
79,920043
80,920136
81,920269
82,920584
83,920700
84,920829
85,920909
86,921130
87,921608
88,922300
89,922436
90,922610
91,922624
92,922856
93,923001
94,923221
95,923554
96,923753
97,923899
98,924053
99,924074
100,924264
101,925131
102,925178
103,926543
104,926640
105,926724
106,930191
107,930221
108,930237
109,930293
110,930392
111,930462
112,930477
113,930511
114,930537
115,930566
116,930573
117,930574
118,930829
119,930865
120,930887
121,930933
122,930971
123,930977
124,930987
125,931072
126,931337
127,931345
128,931354
129,931393
130,931517
131,931551
132,931751
133,931755
134,932129
135,932173
136,932198
137,932241
138,932251
139,932531
140,932588
141,932613
142,932627
143,932677
144,932713
145,932746
146,932885
147,933097
148,933249
149,933258
150,933278
151,933379
152,933416
153,933417
154,933433
155,933436
156,933510
157,933517
158,933597
159,933637
160,933721
161,933727
162,933771
163,933864
164,933915
165,933969
166,934088
167,934089
168,934176
169,934184
170,934223
171,934246
172,934341
173,934822
174,934827
175,934855
176,934957
177,936543
178,936624
179,936856
180,940048
181,940088
182,940109
183,940119
184,940218
185,940230
186,940301
187,940314
188,940428
189,940481
190,940562
191,940565
192,940671
193,940755
194,940841
195,940898
196,940933
197,940990
198,941140
199,941213
200,941261
201,941301
202,941400
203,941438
204,941530
205,941724
206,941801
207,941824
208,941914
209,941917
210,942053
211,942056
212,942084
213,942149
214,942205
215,942224
216,942269
217,942356
218,942367
219,942447
220,942533
221,942742
222,942777
223,942812
224,942816
225,942865
226,942892
227,942910
228,942918
229,942946
230,942948
231,943069
232,943080
233,943170
234,943181
235,943231
236,943506
237,943518
238,943520
239,943568
240,943663
241,943731
242,943906
243,943977
244,943997
245,944007
246,945109
247,945230
248,945252
249,946116
250,946637
251,946706
252,950006
253,950046
254,950062
255,950065
256,950072
257,950113
258,950133
259,950159
260,950166
261,950202
262,950221
263,950333
264,950335
265,950396
266,950417
267,950434
268,950441
269,950443
270,950520
271,950533
272,950784
273,950814
274,950872
275,950898
276,950974
277,951029
278,951111
279,951136
280,951147
281,951197
282,951245
283,951256
284,951293
285,951440
286,951447
287,951455
288,951466
289,951481
